[throughput] started QUIC connection a5d963af569e05119e4f
[throughput] connection establishment time: 25.48 ms
[throughput] time to first byte: 26.25 ms
[throughput] second 1: 9.5 Mbit/s, bytes received: 1.18791 MB, packets received: 938
[throughput] second 2: 9.51 Mbit/s, bytes received: 1.189768 MB, packets received: 858
[throughput] second 3: 9.52 Mbit/s, bytes received: 1.19096 MB, packets received: 855
[throughput] second 4: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 855
[throughput] second 5: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
[throughput] second 6: 9.53 Mbit/s, bytes received: 1.191459 MB, packets received: 855
[throughput] second 7: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
[throughput] second 8: 9.53 Mbit/s, bytes received: 1.192381 MB, packets received: 855
[throughput] second 9: 9.53 Mbit/s, bytes received: 1.192367 MB, packets received: 856
[throughput] second 10: 9.54 Mbit/s, bytes received: 1.193774 MB, packets received: 855
[throughput] second 11: 9.53 Mbit/s, bytes received: 1.192887 MB, packets received: 856
[throughput] second 12: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 13: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 858
[throughput] second 14: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 15: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 16: 9.53 Mbit/s, bytes received: 1.192859 MB, packets received: 856
[throughput] second 17: 9.54 Mbit/s, bytes received: 1.193795 MB, packets received: 856
[throughput] second 18: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
[throughput] second 19: 9.54 Mbit/s, bytes received: 1.193789 MB, packets received: 856
[throughput] second 20: 9.54 Mbit/s, bytes received: 1.192872 MB, packets received: 857
[throughput] second 21: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 22: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 23: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 24: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
[throughput] second 25: 9.54 Mbit/s, bytes received: 1.192873 MB, packets received: 856
[throughput] second 26: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 27: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 28: 9.54 Mbit/s, bytes received: 1.193775 MB, packets received: 856
[throughput] second 29: 9.53 Mbit/s, bytes received: 1.193794 MB, packets received: 857
[throughput] second 30: 9.53 Mbit/s, bytes received: 1.192873 MB, packets received: 856
[throughput] second 31: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 32: 9.53 Mbit/s, bytes received: 1.192367 MB, packets received: 855
[throughput] second 33: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
[throughput] second 34: 9.53 Mbit/s, bytes received: 1.192381 MB, packets received: 856
[throughput] second 35: 9.54 Mbit/s, bytes received: 1.192873 MB, packets received: 855
[throughput] second 36: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 37: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 38: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 39: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 40: 9.54 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 41: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 42: 9.54 Mbit/s, bytes received: 1.19377 MB, packets received: 856
[throughput] second 43: 9.52 Mbit/s, bytes received: 1.192383 MB, packets received: 855
[throughput] second 44: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 45: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 46: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 47: 9.52 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 48: 9.53 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 49: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 50: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 51: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 52: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 53: 9.53 Mbit/s, bytes received: 1.192366 MB, packets received: 857
[throughput] second 54: 9.54 Mbit/s, bytes received: 1.192874 MB, packets received: 856
[throughput] second 55: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 857
[throughput] second 56: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 855
[throughput] second 57: 9.53 Mbit/s, bytes received: 1.192365 MB, packets received: 857
[throughput] second 58: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 59: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 60: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 856
[throughput] closed QUIC connection a5d963af569e05119e4f
[throughput] total: bytes received: 71.585108 MB, packets received: 51439
[throughput] export states success:result/qperf_throughput_result.json
