-----------------------------------------------------------
Server listening on 5000
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 35862
[  5] local 10.0.0.4 port 5000 connected to 10.0.0.1 port 35938
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.65 MBytes  13.8 Mbits/sec   32   7.07 KBytes       
[  5]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec   16   1.41 KBytes       
[  5]   2.00-3.00   sec   318 KBytes  2.61 Mbits/sec   17   1.41 KBytes       
[  5]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    6   2.83 KBytes       
[  5]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec   21   2.83 KBytes       
[  5]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec   45   1.41 KBytes       
[  5]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec   33   1.41 KBytes       
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec   13   1.41 KBytes       
[  5]   9.00-10.00  sec   318 KBytes  2.61 Mbits/sec   25   4.24 KBytes       
[  5]  10.00-11.00  sec   318 KBytes  2.61 Mbits/sec   35   4.24 KBytes       
[  5]  11.00-12.00  sec   318 KBytes  2.61 Mbits/sec   12   2.83 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   13   2.83 KBytes       
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    5   1.41 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    6   4.24 KBytes       
[  5]  15.00-16.00  sec   636 KBytes  5.21 Mbits/sec   21   1.41 KBytes       
[  5]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec   28   4.24 KBytes       
[  5]  17.00-18.00  sec   318 KBytes  2.61 Mbits/sec   16   2.83 KBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   12   2.83 KBytes       
[  5]  19.00-20.00  sec   318 KBytes  2.61 Mbits/sec   23   4.24 KBytes       
[  5]  20.00-21.00  sec   318 KBytes  2.61 Mbits/sec   15   4.24 KBytes       
[  5]  21.00-22.00  sec   318 KBytes  2.61 Mbits/sec   26   4.24 KBytes       
[  5]  22.00-23.00  sec   636 KBytes  5.21 Mbits/sec   23   1.41 KBytes       
[  5]  23.00-24.00  sec   318 KBytes  2.61 Mbits/sec   17   4.24 KBytes       
[  5]  24.00-25.00  sec   318 KBytes  2.61 Mbits/sec   21   2.83 KBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   11   2.83 KBytes       
[  5]  26.00-27.00  sec   636 KBytes  5.21 Mbits/sec   31   4.24 KBytes       
[  5]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    9   1.41 KBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   12   1.41 KBytes       
[  5]  29.00-30.00  sec   636 KBytes  5.22 Mbits/sec   36   9.90 KBytes       
[  5]  30.00-31.00  sec   954 KBytes  7.82 Mbits/sec   32   1.41 KBytes       
[  5]  31.00-32.00  sec   318 KBytes  2.61 Mbits/sec   26   1.41 KBytes       
[  5]  32.00-33.00  sec   318 KBytes  2.61 Mbits/sec   29   5.66 KBytes       
[  5]  33.00-34.00  sec   636 KBytes  5.21 Mbits/sec   33   5.66 KBytes       
[  5]  34.00-35.00  sec   318 KBytes  2.61 Mbits/sec    8   1.41 KBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    5   2.83 KBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    4   9.90 KBytes       
[  5]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec   12   1.41 KBytes       
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    6   2.83 KBytes       
[  5]  44.00-45.00  sec   318 KBytes  2.61 Mbits/sec   28   2.83 KBytes       
[  5]  45.00-46.00  sec   954 KBytes  7.82 Mbits/sec   40   2.83 KBytes       
