started QUIC connection f7f59fcc026fd4d01990f3263195
connection establishment time: 35.03 ms
time to first byte: 35.72 ms
second 1: 9.48 Mbit/s, bytes received: 1.186533 MB, packets received: 945
second 2: 9.5 Mbit/s, bytes received: 1.189731 MB, packets received: 861
second 3: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
second 4: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 5: 9.53 Mbit/s, bytes received: 1.192367 MB, packets received: 855
second 6: 9.53 Mbit/s, bytes received: 1.192873 MB, packets received: 856
second 7: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 8: 9.49 Mbit/s, bytes received: 1.186718 MB, packets received: 851
second 9: 9.54 Mbit/s, bytes received: 1.193782 MB, packets received: 856
second 10: 9.53 Mbit/s, bytes received: 1.192373 MB, packets received: 855
second 11: 9.53 Mbit/s, bytes received: 1.192873 MB, packets received: 856
second 12: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 13: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 14: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
second 15: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
second 16: 9.53 Mbit/s, bytes received: 1.192873 MB, packets received: 856
second 17: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 18: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
second 19: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 20: 9.54 Mbit/s, bytes received: 1.193783 MB, packets received: 856
second 21: 9.53 Mbit/s, bytes received: 1.192878 MB, packets received: 856
second 22: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 23: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 24: 9.54 Mbit/s, bytes received: 1.193781 MB, packets received: 856
second 25: 9.54 Mbit/s, bytes received: 1.193782 MB, packets received: 856
second 26: 9.53 Mbit/s, bytes received: 1.192879 MB, packets received: 856
second 27: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 28: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 29: 9.53 Mbit/s, bytes received: 1.193781 MB, packets received: 856
second 30: 9.53 Mbit/s, bytes received: 1.192873 MB, packets received: 856
second 31: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 32: 9.52 Mbit/s, bytes received: 1.192374 MB, packets received: 855
second 33: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 34: 9.53 Mbit/s, bytes received: 1.193774 MB, packets received: 856
second 35: 9.53 Mbit/s, bytes received: 1.19288 MB, packets received: 856
second 36: 9.54 Mbit/s, bytes received: 1.193782 MB, packets received: 856
second 37: 9.54 Mbit/s, bytes received: 1.193794 MB, packets received: 856
second 38: 9.53 Mbit/s, bytes received: 1.193779 MB, packets received: 856
second 39: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 40: 9.54 Mbit/s, bytes received: 1.192875 MB, packets received: 856
second 41: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 42: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 43: 9.53 Mbit/s, bytes received: 1.193779 MB, packets received: 856
second 44: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 45: 9.53 Mbit/s, bytes received: 1.192866 MB, packets received: 856
second 46: 9.53 Mbit/s, bytes received: 1.193797 MB, packets received: 856
second 47: 9.53 Mbit/s, bytes received: 1.19377 MB, packets received: 856
second 48: 9.54 Mbit/s, bytes received: 1.193797 MB, packets received: 856
second 49: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
second 50: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 51: 9.52 Mbit/s, bytes received: 1.192374 MB, packets received: 855
second 52: 9.53 Mbit/s, bytes received: 1.19377 MB, packets received: 856
second 53: 9.53 Mbit/s, bytes received: 1.193796 MB, packets received: 856
second 54: 9.53 Mbit/s, bytes received: 1.192876 MB, packets received: 856
second 55: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 56: 9.52 Mbit/s, bytes received: 1.192374 MB, packets received: 855
second 57: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
second 58: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
second 59: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
second 60: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
closed QUIC connection f7f59fcc026fd4d01990f3263195
total: bytes received: 71.587927 MB, packets received: 51442
export states success:export.json
